,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_type,favorite_count,retweet_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,6.674434256592323e+17,,,2015-11-19 20:44:47,Twitter for iPhone,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,https://twitter.com/dog_rates/status/667443425659232256/photo/1,6,10,None,None,788.0,590.0,,,,,,,,,,,
1,6.674530232795546e+17,,,2015-11-19 21:22:56,Twitter Web Client,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,https://twitter.com/dog_rates/status/667453023279554560/photo/1,11,10,Cupcake,None,315.0,91.0,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1.0,Labrador Retriever,0.8256700000000001,True,French Bulldog,0.0566394,True,Staffordshire Bullterrier,0.0540184,True
2,6.674554480822272e+17,,,2015-11-19 21:32:34,Twitter Web Client,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,https://twitter.com/dog_rates/status/667455448082227200/photo/1,7,10,Reese,None,194.0,60.0,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1.0,Tibetan Terrier,0.676376,True,Irish Terrier,0.054933400000000014,True,Yorkshire Terrier,0.0405755,True
3,6.67470559035433e+17,,,2015-11-19 22:32:36,Twitter Web Client,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,https://twitter.com/dog_rates/status/667470559035432960/photo/1,11,10,,None,259.0,100.0,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,1.0,Toy Poodle,0.304175,True,Pug,0.223427,True,Lakeland Terrier,0.07331649999999999,True
4,6.674910093796065e+17,,,2015-11-19 23:53:52,Twitter Web Client,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,https://twitter.com/dog_rates/status/667491009379606528/photo/1,7,10,None,None,535.0,232.0,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1.0,Borzoi,0.852088,True,Ice Bear,0.13226400000000002,False,Weasel,0.00572998,False
5,6.674957971021414e+17,,,2015-11-20 00:12:54,Twitter Web Client,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,https://twitter.com/dog_rates/status/667495797102141441/photo/1,9,10,Philippe,None,,,,,,,,,,,,,
6,6.67502640335573e+17,,,2015-11-20 00:40:05,Twitter Web Client,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11,10,Hall,None,,,,,,,,,,,,,
7,6.67509364010451e+17,,,2015-11-20 01:06:48,Twitter Web Client,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,https://twitter.com/dog_rates/status/667509364010450944/photo/1,12,10,None,None,6848.0,2165.0,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,1.0,Beagle,0.636169,True,Labrador Retriever,0.119256,True,Golden Retriever,0.08254919999999999,True
8,6.675176420481638e+17,,,2015-11-20 01:39:42,Twitter Web Client,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,https://twitter.com/dog_rates/status/667517642048163840/photo/1,8,10,Dook,None,372.0,195.0,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,1.0,Italian Greyhound,0.125176,True,Standard Poodle,0.08457150000000001,True,Cocker Spaniel,0.0813469,True
9,6.675248574548541e+17,,,2015-11-20 02:08:22,Twitter Web Client,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,https://twitter.com/dog_rates/status/667524857454854144/photo/1,12,10,None,None,1716.0,1128.0,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1.0,Hare,0.447893,False,Dhole,0.0924353,False,Chesapeake Bay Retriever,0.08812239999999999,True
